Run,PC1,PC2,PC3,country,locality
SRR12425529,-52.3104568105121,-18.3156963339969,23.6502961202354,China,"China, Huicheng , Huizhou, Guangdong Province"
SRR12425532,-50.9415745089905,-17.5877069373759,25.2119058259924,China,"China, Nanlang, Zhongshan, Guangdong Province"
SRR12425533,-53.7703377396193,-18.6238595198561,24.4194025045269,China,"China, Huicheng , Huizhou, Guangdong Province"
SRR12425534,-48.148348255873,-14.3842515609915,17.2137136053569,China,"China, Boluo, Huizhou, Guangdong Province"
SRR12425535,-50.97637910966,-13.1779182747093,17.9534455347555,China,"China, Boluo, Huizhou, Guangdong Province"
SRR12425536,-37.1770482724116,7.98382108391113,-22.6974316751528,China,"China, Yanping, Nanping, Fujian Province"
SRR12425537,-47.7446523657098,-11.510693468875,12.6332974169385,China,"China, Liancheng, Longyan, Fujian Province"
SRR12425538,37.3954541055771,6.30881817391768,11.5679217278305,Taiwan,"Taiwan, Guanshan Township, Taitung County"
SRR12425539,32.9194333461606,28.0912085147158,10.0934306147735,Taiwan,"Taiwan, Hsinwu District, Taoyuan City"
SRR12425540,32.1599560819217,28.471828022929,10.6863523150919,Taiwan,"Taiwan, National Taiwan University, Zhongzheng, Taipei City"
